tanggal,wilayah,waktu,cuaca,kelembaban_persen,suhu_derajat_celcius
2017-02-01,Jakarta Timur,Pagi,Hujan Lokal,60 - 95,24 - 34
2017-02-01,Jakarta Barat,Pagi,Hujan Lokal,60 - 95,24 - 34
2017-02-01,Jakarta Selatan,Pagi,Hujan Lokal,60 - 95,24 - 34
2017-02-01,Kepulauan Seribu,Pagi,Hujan Ringan,60 - 95,24 - 34
2017-02-01,Jakarta Pusat,Pagi,Hujan Lokal,60 - 95,24 - 34
2017-02-01,Jakarta Utara,Pagi,Hujan Lokal,60 - 95,24 - 34
2017-02-01,Jakarta Timur,Siang,Hujan Sedang,60 - 95,24 - 34
2017-02-01,Jakarta Barat,Siang,Hujan Sedang,60 - 95,24 - 34
2017-02-01,Jakarta Selatan,Siang,Hujan Ringan,60 - 95,24 - 34
2017-02-01,Kepulauan Seribu,Siang,Hujan Sedang,60 - 95,24 - 34
2017-02-01,Jakarta Pusat,Siang,Hujan Sedang,60 - 95,24 - 34
2017-02-01,Jakarta Utara,Siang,Hujan Sedang,60 - 95,24 - 34
2017-02-01,Jakarta Timur,Malam,Hujan Sedang,60 - 95,24 - 34
2017-02-01,Jakarta Barat,Malam,Hujan Sedang,60 - 95,24 - 34
2017-02-01,Jakarta Selatan,Malam,Hujan Sedang,60 - 95,24 - 34
2017-02-01,Kepulauan Seribu,Malam,Hujan Petir,60 - 95,24 - 34
2017-02-01,Jakarta Pusat,Malam,Hujan Sedang,60 - 95,24 - 34
2017-02-01,Jakarta Utara,Malam,Hujan Petir,60 - 95,24 - 34
2017-02-01,Jakarta Timur,Dini Hari,Hujan Sedang,60 - 95,24 - 34
2017-02-01,Jakarta Barat,Dini Hari,Hujan Sedang,60 - 95,24 - 34
2017-02-01,Jakarta Selatan,Dini Hari,Hujan Sedang,60 - 95,24 - 34
2017-02-01,Kepulauan Seribu,Dini Hari,Hujan Sedang,60 - 95,24 - 34
2017-02-01,Jakarta Pusat,Dini Hari,Hujan Sedang,60 - 95,24 - 34
2017-02-01,Jakarta Utara,Dini Hari,Hujan Sedang,60 - 95,24 - 34
2017-02-02,Jakarta Timur,Pagi,Hujan Petir,60 - 95,23 - 32
2017-02-02,Jakarta Barat,Pagi,Hujan Petir,60 - 95,23 - 32
2017-02-02,Jakarta Selatan,Pagi,Hujan Petir,60 - 95,23 - 32
2017-02-02,Kepulauan Seribu,Pagi,Hujan Sedang,60 - 95,23 - 32
2017-02-02,Jakarta Pusat,Pagi,Hujan Petir,60 - 95,23 - 32
2017-02-02,Jakarta Utara,Pagi,Hujan Sedang,60 - 95,23 - 32
2017-02-02,Jakarta Timur,Siang,Hujan Ringan,60 - 95,23 - 32
2017-02-02,Jakarta Barat,Siang,Hujan Ringan,60 - 95,23 - 32
2017-02-02,Jakarta Selatan,Siang,Hujan Ringan,60 - 95,23 - 32
2017-02-02,Kepulauan Seribu,Siang,Hujan Ringan,60 - 95,23 - 32
2017-02-02,Jakarta Pusat,Siang,Hujan Ringan,60 - 95,23 - 32
2017-02-02,Jakarta Utara,Siang,Hujan Ringan,60 - 95,23 - 32
2017-02-02,Jakarta Timur,Malam,Hujan Lokal,60 - 95,23 - 32
2017-02-02,Jakarta Barat,Malam,Hujan Lokal,60 - 95,23 - 32
2017-02-02,Jakarta Selatan,Malam,Hujan Lokal,60 - 95,23 - 32
2017-02-02,Kepulauan Seribu,Malam,Hujan Lokal,60 - 95,23 - 32
2017-02-02,Jakarta Pusat,Malam,Hujan Lokal,60 - 95,23 - 32
2017-02-02,Jakarta Utara,Malam,Hujan Lokal,60 - 95,23 - 32
2017-02-02,Jakarta Timur,Dini Hari,Hujan Ringan,60 - 95,23 - 32
2017-02-02,Jakarta Barat,Dini Hari,Hujan Ringan,60 - 95,23 - 32
2017-02-02,Jakarta Selatan,Dini Hari,Hujan Ringan,60 - 95,23 - 32
2017-02-02,Kepulauan Seribu,Dini Hari,Berawan Tebal,60 - 95,23 - 32
2017-02-02,Jakarta Pusat,Dini Hari,Hujan Ringan,60 - 95,23 - 32
2017-02-02,Jakarta Utara,Dini Hari,Berawan Tebal,60 - 95,23 - 32
2017-02-03,Jakarta Timur,Pagi,Hujan Lokal,90 - 95,24 - 30
2017-02-03,Jakarta Barat,Pagi,Hujan Sedang,90 - 95,24 - 30
2017-02-03,Jakarta Selatan,Pagi,Hujan Sedang,90 - 95,24 - 30
2017-02-03,Kepulauan Seribu,Pagi,Hujan Ringan,90 - 95,24 - 30
2017-02-03,Jakarta Pusat,Pagi,Hujan Lokal,90 - 95,24 - 30
2017-02-03,Jakarta Utara,Pagi,Hujan Lokal,90 - 95,24 - 30
2017-02-03,Jakarta Timur,Siang,Berawan Tebal,90 - 95,24 - 30
2017-02-03,Jakarta Barat,Siang,Berawan Tebal,90 - 95,24 - 30
2017-02-03,Jakarta Selatan,Siang,Hujan Ringan,90 - 95,24 - 30
2017-02-03,Kepulauan Seribu,Siang,Hujan Ringan,90 - 95,24 - 30
2017-02-03,Jakarta Pusat,Siang,Berawan,90 - 95,24 - 30
2017-02-03,Jakarta Utara,Siang,Hujan Ringan,90 - 95,24 - 30
2017-02-03,Jakarta Timur,Malam,Berawan Tebal,90 - 95,24 - 30
2017-02-03,Jakarta Barat,Malam,Berawan Tebal,90 - 95,24 - 30
2017-02-03,Jakarta Selatan,Malam,Hujan Ringan,90 - 95,24 - 30
2017-02-03,Kepulauan Seribu,Malam,Berawan Tebal,90 - 95,24 - 30
2017-02-03,Jakarta Pusat,Malam,Berawan Tebal,90 - 95,24 - 30
2017-02-03,Jakarta Utara,Malam,Berawan Tebal,90 - 95,24 - 30
2017-02-03,Jakarta Timur,Dini Hari,Berawan Tebal,90 - 95,24 - 30
2017-02-03,Jakarta Barat,Dini Hari,Hujan Ringan,90 - 95,24 - 30
2017-02-03,Jakarta Selatan,Dini Hari,Berawan Tebal,90 - 95,24 - 30
2017-02-03,Kepulauan Seribu,Dini Hari,Hujan Ringan,90 - 95,24 - 30
2017-02-03,Jakarta Pusat,Dini Hari,Berawan Tebal,90 - 95,24 - 30
2017-02-03,Jakarta Utara,Dini Hari,Berawan Tebal,90 - 95,24 - 30
2017-02-04,Jakarta Timur,Pagi,Hujan Ringan,60 - 95,23 - 31
2017-02-04,Jakarta Barat,Pagi,Hujan Ringan,60 - 95,23 - 31
2017-02-04,Jakarta Selatan,Pagi,Hujan Ringan,60 - 95,23 - 31
2017-02-04,Kepulauan Seribu,Pagi,Berawan,60 - 95,23 - 31
2017-02-04,Jakarta Pusat,Pagi,Hujan Ringan,60 - 95,23 - 31
2017-02-04,Jakarta Utara,Pagi,Berawan Tebal,60 - 95,23 - 31
2017-02-04,Jakarta Timur,Siang,Berawan,60 - 95,23 - 31
2017-02-04,Jakarta Barat,Siang,Hujan Ringan,60 - 95,23 - 31
2017-02-04,Jakarta Selatan,Siang,Berawan,60 - 95,23 - 31
2017-02-04,Kepulauan Seribu,Siang,Hujan Ringan,60 - 95,23 - 31
2017-02-04,Jakarta Pusat,Siang,Hujan Ringan,60 - 95,23 - 31
2017-02-04,Jakarta Utara,Siang,Hujan Ringan,60 - 95,23 - 31
2017-02-04,Jakarta Timur,Malam,Berawan,60 - 95,23 - 31
2017-02-04,Jakarta Barat,Malam,Hujan Ringan,60 - 95,23 - 31
2017-02-04,Jakarta Selatan,Malam,Berawan,60 - 95,23 - 31
2017-02-04,Kepulauan Seribu,Malam,Hujan Sedang,60 - 95,23 - 31
2017-02-04,Jakarta Pusat,Malam,Hujan Ringan,60 - 95,23 - 31
2017-02-04,Jakarta Utara,Malam,Hujan Ringan,60 - 95,23 - 31
2017-02-04,Jakarta Timur,Dini Hari,Hujan Sedang,60 - 95,23 - 31
2017-02-04,Jakarta Barat,Dini Hari,Hujan Sedang,60 - 95,23 - 31
2017-02-04,Jakarta Selatan,Dini Hari,Hujan Sedang,60 - 95,23 - 31
2017-02-04,Kepulauan Seribu,Dini Hari,Hujan Ringan,60 - 95,23 - 31
2017-02-04,Jakarta Pusat,Dini Hari,Hujan Sedang,60 - 95,23 - 31
2017-02-04,Jakarta Utara,Dini Hari,Hujan Sedang,60 - 95,23 - 31
2017-02-06,Jakarta Timur,Pagi,Berawan Tebal,75 - 95,27 - 32
2017-02-06,Jakarta Barat,Pagi,Hujan Lokal,75 - 95,27 - 32
2017-02-06,Jakarta Selatan,Pagi,Berawan,75 - 95,27 - 32
2017-02-06,Kepulauan Seribu,Pagi,Hujan Lokal,75 - 95,27 - 32
2017-02-06,Jakarta Pusat,Pagi,Berawan Tebal,75 - 95,27 - 32
2017-02-06,Jakarta Utara,Pagi,Berawan Tebal,75 - 95,27 - 32
2017-02-06,Jakarta Timur,Siang,Hujan Lokal,75 - 95,27 - 32
2017-02-06,Jakarta Barat,Siang,Berawan Tebal,75 - 95,27 - 32
2017-02-06,Jakarta Selatan,Siang,Hujan Lokal,75 - 95,27 - 32
2017-02-06,Kepulauan Seribu,Siang,Hujan Lokal,75 - 95,27 - 32
2017-02-06,Jakarta Pusat,Siang,Hujan Lokal,75 - 95,27 - 32
2017-02-06,Jakarta Utara,Siang,Hujan Lokal,75 - 95,27 - 32
2017-02-06,Jakarta Timur,Malam,Cerah Berawan,75 - 95,27 - 32
2017-02-06,Jakarta Barat,Malam,Berawan Tebal,75 - 95,27 - 32
2017-02-06,Jakarta Selatan,Malam,Cerah Berawan,75 - 95,27 - 32
2017-02-06,Kepulauan Seribu,Malam,Hujan Lokal,75 - 95,27 - 32
2017-02-06,Jakarta Pusat,Malam,Cerah Berawan,75 - 95,27 - 32
2017-02-06,Jakarta Utara,Malam,Cerah Berawan,75 - 95,27 - 32
2017-02-06,Jakarta Timur,Dini Hari,Berawan Tebal,75 - 95,27 - 32
2017-02-06,Jakarta Barat,Dini Hari,Berawan Tebal,75 - 95,27 - 32
2017-02-06,Jakarta Selatan,Dini Hari,Berawan Tebal,75 - 95,27 - 32
2017-02-06,Kepulauan Seribu,Dini Hari,Hujan Lokal,75 - 95,27 - 32
2017-02-06,Jakarta Pusat,Dini Hari,Berawan Tebal,75 - 95,27 - 32
2017-02-06,Jakarta Utara,Dini Hari,Berawan Tebal,75 - 95,27 - 32
2017-02-07,Jakarta Timur,Pagi,Hujan Lokal,70 - 95,22 - 33
2017-02-07,Jakarta Barat,Pagi,Hujan Ringan,70 - 95,22 - 33
2017-02-07,Jakarta Selatan,Pagi,Hujan Lokal,70 - 95,22 - 33
2017-02-07,Kepulauan Seribu,Pagi,Hujan Sedang,70 - 95,22 - 33
2017-02-07,Jakarta Pusat,Pagi,Hujan Ringan,70 - 95,22 - 33
2017-02-07,Jakarta Utara,Pagi,Hujan Sedang,70 - 95,22 - 33
2017-02-07,Jakarta Timur,Siang,Hujan Lokal,70 - 95,22 - 33
2017-02-07,Jakarta Barat,Siang,Hujan Ringan,70 - 95,22 - 33
2017-02-07,Jakarta Selatan,Siang,Hujan Lokal,70 - 95,22 - 33
2017-02-07,Kepulauan Seribu,Siang,Berawan Sedang,70 - 95,22 - 33
2017-02-07,Jakarta Pusat,Siang,Hujan Ringan,70 - 95,22 - 33
2017-02-07,Jakarta Utara,Siang,Hujan Sedang,70 - 95,22 - 33
2017-02-07,Jakarta Timur,Malam,Hujan Lokal,70 - 95,22 - 33
2017-02-07,Jakarta Barat,Malam,Hujan Lokal,70 - 95,22 - 33
2017-02-07,Jakarta Selatan,Malam,Hujan Lokal,70 - 95,22 - 33
2017-02-07,Kepulauan Seribu,Malam,Berawan,70 - 95,22 - 33
2017-02-07,Jakarta Pusat,Malam,Hujan Lokal,70 - 95,22 - 33
2017-02-07,Jakarta Utara,Malam,Berawan,70 - 95,22 - 33
2017-02-07,Jakarta Timur,Dini Hari,Berawan Tebal,70 - 95,22 - 33
2017-02-07,Jakarta Barat,Dini Hari,Berawan Tebal,70 - 95,22 - 33
2017-02-07,Jakarta Selatan,Dini Hari,Hujan Ringan,70 - 95,22 - 33
2017-02-07,Kepulauan Seribu,Dini Hari,Hujan Ringan,70 - 95,22 - 33
2017-02-07,Jakarta Pusat,Dini Hari,Berawan Tebal,70 - 95,22 - 33
2017-02-07,Jakarta Utara,Dini Hari,Hujan Ringan,70 - 95,22 - 33
2017-02-08,Jakarta Timur,Pagi,Berawan,60 - 95,22 - 32
2017-02-08,Jakarta Barat,Pagi,Hujan Lokal,60 - 95,22 - 32
2017-02-08,Jakarta Selatan,Pagi,Hujan Lokal,60 - 95,22 - 32
2017-02-08,Kepulauan Seribu,Pagi,Hujan Ringan,60 - 95,22 - 32
2017-02-08,Jakarta Pusat,Pagi,Berawan,60 - 95,22 - 32
2017-02-08,Jakarta Utara,Pagi,Berawan,60 - 95,22 - 32
2017-02-08,Jakarta Timur,Siang,Hujan Sedang,60 - 95,22 - 32
2017-02-08,Jakarta Barat,Siang,Hujan Lokal,60 - 95,22 - 32
2017-02-08,Jakarta Selatan,Siang,Hujan Sedang,60 - 95,22 - 32
2017-02-08,Kepulauan Seribu,Siang,Hujan Ringan,60 - 95,22 - 32
2017-02-08,Jakarta Pusat,Siang,Hujan Lokal,60 - 95,22 - 32
2017-02-08,Jakarta Utara,Siang,Hujan Lokal,60 - 95,22 - 32
2017-02-08,Jakarta Timur,Malam,Hujan Ringan,60 - 95,22 - 32
