tanggal,wilayah,waktu,cuaca,kelembaban_persen,suhu_derajat_celcius
2017-03-01,Jakarta Timur,Pagi,Hujan Lokal,65 - 95,24 - 32
2017-03-01,Jakarta Barat,Pagi,Hujan Lokal,65 - 95,24 - 32
2017-03-01,Jakarta Selatan,Pagi,Hujan Ringan,65 - 95,24 - 32
2017-03-01,Kepulauan Seribu,Pagi,Cerah Berawan,65 - 95,24 - 32
2017-03-01,Jakarta Pusat,Pagi,Hujan Lokal,65 - 95,24 - 32
2017-03-01,Jakarta Utara,Pagi,Hujan Lokal,65 - 95,24 - 32
2017-03-01,Jakarta Timur,Siang,Berawan Tebal,65 - 95,24 - 32
2017-03-01,Jakarta Barat,Siang,Berawan,65 - 95,24 - 32
2017-03-01,Jakarta Selatan,Siang,Hujan Lokal,65 - 95,24 - 32
2017-03-01,Kepulauan Seribu,Siang,Berawan Tebal,65 - 95,24 - 32
2017-03-01,Jakarta Pusat,Siang,Berawan,65 - 95,24 - 32
2017-03-01,Jakarta Utara,Siang,Berawan Tebal,65 - 95,24 - 32
2017-03-01,Jakarta Timur,Malam,Berawan,65 - 95,24 - 32
2017-03-01,Jakarta Barat,Malam,Cerah Berawan,65 - 95,24 - 32
2017-03-01,Jakarta Selatan,Malam,Berawan,65 - 95,24 - 32
2017-03-01,Kepulauan Seribu,Malam,Hujan Lokal,65 - 95,24 - 32
2017-03-01,Jakarta Pusat,Malam,Berawan,65 - 95,24 - 32
2017-03-01,Jakarta Utara,Malam,Berawan,65 - 95,24 - 32
2017-03-01,Jakarta Timur,Dini Hari,Berawan,65 - 95,24 - 32
2017-03-01,Jakarta Barat,Dini Hari,Berawan,65 - 95,24 - 32
2017-03-01,Jakarta Selatan,Dini Hari,Berawan,65 - 95,24 - 32
2017-03-01,Kepulauan Seribu,Dini Hari,Berawan,65 - 95,24 - 32
2017-03-01,Jakarta Pusat,Dini Hari,Berawan Tebal,65 - 95,24 - 32
2017-03-01,Jakarta Utara,Dini Hari,Berawan Tebal,65 - 95,24 - 32
2017-03-02,Jakarta Timur,Pagi,Hujan Petir,70 - 95,24 - 32
2017-03-02,Jakarta Barat,Pagi,Hujan Ringan,70 - 95,24 - 32
2017-03-02,Jakarta Selatan,Pagi,Hujan Petir,70 - 95,24 - 32
2017-03-02,Kepulauan Seribu,Pagi,Berawan Tebal,70 - 95,24 - 32
2017-03-02,Jakarta Pusat,Pagi,Hujan Ringan,70 - 95,24 - 32
2017-03-02,Jakarta Utara,Pagi,Hujan Lokal,70 - 95,24 - 32
2017-03-02,Jakarta Timur,Siang,Hujan Sedang,70 - 95,24 - 32
2017-03-02,Jakarta Barat,Siang,Hujan Ringan,70 - 95,24 - 32
2017-03-02,Jakarta Selatan,Siang,Hujan Sedang,70 - 95,24 - 32
2017-03-02,Kepulauan Seribu,Siang,Berawan Tebal,70 - 95,24 - 32
2017-03-02,Jakarta Pusat,Siang,Hujan Ringan,70 - 95,24 - 32
2017-03-02,Jakarta Utara,Siang,Hujan Ringan,70 - 95,24 - 32
2017-03-02,Jakarta Timur,Malam,Hujan Ringan,70 - 95,24 - 32
2017-03-02,Jakarta Barat,Malam,Hujan Ringan,70 - 95,24 - 32
2017-03-02,Jakarta Selatan,Malam,Hujan Ringan,70 - 95,24 - 32
2017-03-02,Kepulauan Seribu,Malam,Hujan Sedang,70 - 95,24 - 32
2017-03-02,Jakarta Pusat,Malam,Hujan Ringan,70 - 95,24 - 32
2017-03-02,Jakarta Utara,Malam,Hujan Sedang,70 - 95,24 - 32
