tanggal,wilayah,waktu,cuaca,kelembaban_persen,suhu_derajat_celcius
2017-05-01,Jakarta Timur,Pagi,Hujan Petir,60 - 90,24 - 33
2017-05-01,Jakarta Barat,Pagi,Hujan Lokal,60 - 90,24 - 33
2017-05-01,Jakarta Selatan,Pagi,Hujan Ringan,60 - 90,24 - 33
2017-05-01,Kepulauan Seribu,Pagi,Cerah Berawan,60 - 90,24 - 33
2017-05-01,Jakarta Pusat,Pagi,Cerah Berawan,60 - 90,24 - 33
2017-05-01,Jakarta Utara,Pagi,Cerah Berawan,60 - 90,24 - 33
2017-05-01,Jakarta Timur,Siang,Berawan,60 - 90,24 - 33
2017-05-01,Jakarta Barat,Siang,Berawan,60 - 90,24 - 33
2017-05-01,Jakarta Selatan,Siang,Berawan,60 - 90,24 - 33
2017-05-01,Kepulauan Seribu,Siang,Berawan,60 - 90,24 - 33
2017-05-01,Jakarta Pusat,Siang,Berawan Tebal,60 - 90,24 - 33
2017-05-01,Jakarta Utara,Siang,Berawan Tebal,60 - 90,24 - 33
2017-05-01,Jakarta Timur,Malam,Berawan Tebal,60 - 90,24 - 33
2017-05-01,Jakarta Barat,Malam,Berawan Tebal,60 - 90,24 - 33
2017-05-01,Jakarta Selatan,Malam,Berawan Tebal,60 - 90,24 - 33
2017-05-01,Kepulauan Seribu,Malam,Hujan Lokal,60 - 90,24 - 33
2017-05-01,Jakarta Pusat,Malam,Berawan Tebal,60 - 90,24 - 33
2017-05-01,Jakarta Utara,Malam,Berawan Tebal,60 - 90,24 - 33
2017-05-01,Jakarta Timur,Dini Hari,Cerah,60 - 90,24 - 33
2017-05-01,Jakarta Barat,Dini Hari,Cerah Berawan,60 - 90,24 - 33
2017-05-01,Jakarta Selatan,Dini Hari,Cerah,60 - 90,24 - 33
2017-05-01,Kepulauan Seribu,Dini Hari,Cerah Berawan,60 - 90,24 - 33
2017-05-01,Jakarta Pusat,Dini Hari,Cerah,60 - 90,24 - 33
2017-05-01,Jakarta Utara,Dini Hari,Cerah,60 - 90,24 - 33
2017-05-02,Jakarta Timur,Pagi,Hujan Petir,65 - 90,25 - 33
2017-05-02,Jakarta Barat,Pagi,Hujan Petir,65 - 90,25 - 33
2017-05-02,Jakarta Selatan,Pagi,Hujan Petir,65 - 90,25 - 33
2017-05-02,Kepulauan Seribu,Pagi,Cerah Berawan,65 - 90,25 - 33
2017-05-02,Jakarta Pusat,Pagi,Hujan Sedang,65 - 90,25 - 33
2017-05-02,Jakarta Utara,Pagi,Hujan Sedang,65 - 90,25 - 33
2017-05-02,Jakarta Timur,Siang,Hujan Lokal,65 - 90,25 - 33
2017-05-02,Jakarta Barat,Siang,Hujan Lokal,65 - 90,25 - 33
2017-05-02,Jakarta Selatan,Siang,Hujan Ringan,65 - 90,25 - 33
2017-05-02,Kepulauan Seribu,Siang,Berawan,65 - 90,25 - 33
2017-05-02,Jakarta Pusat,Siang,Hujan Lokal,65 - 90,25 - 33
2017-05-02,Jakarta Utara,Siang,Hujan Lokal,65 - 90,25 - 33
2017-05-02,Jakarta Timur,Malam,Berawan Tebal,65 - 90,25 - 33
2017-05-02,Jakarta Barat,Malam,Berawan Tebal,65 - 90,25 - 33
2017-05-02,Jakarta Selatan,Malam,Berawan Tebal,65 - 90,25 - 33
2017-05-02,Kepulauan Seribu,Malam,Hujan Lokal,65 - 90,25 - 33
2017-05-02,Jakarta Pusat,Malam,Berawan Tebal,65 - 90,25 - 33
2017-05-02,Jakarta Utara,Malam,Berawan Tebal,65 - 90,25 - 33
2017-05-02,Jakarta Timur,Dini Hari,Cerah,65 - 90,25 - 33
2017-05-02,Jakarta Barat,Dini Hari,Cerah Berawan,65 - 90,25 - 33
2017-05-02,Jakarta Selatan,Dini Hari,Cerah,65 - 90,25 - 33
2017-05-02,Kepulauan Seribu,Dini Hari,Cerah Berawan,65 - 90,25 - 33
2017-05-02,Jakarta Pusat,Dini Hari,Cerah,65 - 90,25 - 33
2017-05-02,Jakarta Utara,Dini Hari,Cerah,65 - 90,25 - 33
